cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
Alessi_24,260.764,-62.693,2.059,-0.488,-8.999,156,328.9843523572211,-14.57168375818413,72.44361827871234
Alessi_3,109.275,-46.142,3.566,-9.875,11.958,164,257.4495132258189,-15.063420957868471,630.9576215861531
Alessi_31,267.698,-11.853,1.477,-1.164,-4.122,165,15.339018241825794,7.709169620715899,239.88335511359205
Alessi_37,341.961,46.342,1.384,0.351,-1.569,133,101.73231903469095,-11.380035940877066,138.0385355838289
Alessi_43,132.631,-41.738,1.032,-5.546,3.869,284,262.54617296627504,1.5011469237924016,11.4815347022194
Alessi_44,295.325,1.592,1.496,0.463,-2.325,175,40.12089578114177,-10.332688136888036,223.87231049868672
Alessi_5,160.819,-61.081,2.501,-15.411,2.503,297,288.05786805328916,-1.9660900730941122,67.60828566222641
Alessi_53,97.352,9.18,0.198,0.431,-0.201,27,202.2590774292118,-0.6633336659689216,75.85777749219503
Alessi_59,103.078,2.196,0.227,-0.54,0.283,10,211.07683322572555,1.1955251397075195,
Alessi_6,220.058,-66.127,1.1,-10.472,-5.559,164,313.64276682458456,-5.544041473489369,426.5796312095559
Alessi_60,105.619,-1.12,0.336,-0.83,-0.653,67,215.18810332745133,1.9442323243447412,223.87231049868672
Alessi_62,284.026,21.597,1.591,0.245,-1.074,142,52.815724566122974,8.684317771048907,691.8312139914402
Alessi_8,232.408,-51.227,1.479,-5.899,-5.729,50,326.5006338266555,4.258650530045735,117.48967293472916
Alessi_9,265.974,-47.028,4.822,9.916,-9.157,183,344.26914247958297,-9.057711602992232,281.8381693478142
Alessi_Teutsch_11,304.127,52.051,1.52,-0.139,-1.295,110,87.43502894851134,9.26778431406314,144.54392628956643
Alessi_Teutsch_12,255.421,-58.981,1.632,-2.134,-8.952,41,330.635526509614,-10.33722896685841,87.0963704709875
Alessi_Teutsch_3,118.228,-53.022,1.417,-5.378,8.926,87,266.42663944415693,-12.849583336309498,104.71296517666539
Alessi_Teutsch_5,332.218,61.103,1.111,-1.895,-3.207,127,104.53595067779511,4.17876182131205,18.620870548831206
Alessi_Teutsch_8,180.649,-60.935,0.967,-6.625,1.63,319,297.03273851610436,1.3760935982683264,117.48967293472916
Andrews_Lindsay_5,281.079,-4.931,0.137,-0.901,-3.562,58,27.732592499161893,-0.6672155253887073,
Antalova_2,262.462,-32.541,0.842,2.037,-1.65,27,355.1409886291861,0.9291252467029453,12.022642234116693
Archinal_1,283.709,5.55,0.526,-0.225,-1.578,65,38.259405574570906,1.7745366005132563,
Arp_Madore_2,114.683,-33.845,0.039,-0.513,1.225,29,248.1234162962216,-5.883348948013043,3019.9485372543654
Auner_1,106.06,-19.748,0.093,-0.28,1.015,41,231.99195682912818,-6.159887896548137,3090.293803866819
Aveni_Hunter_1,354.175,48.205,2.348,-0.184,-2.087,82,110.28349428678277,-12.822757305866167,10.471285020627683
BDSB30,333.667,61.433,1.109,-1.579,-3.005,33,105.29790466791114,4.050493862355674,
BDSB91,96.319,-10.551,1.033,-3.183,1.15,32,219.46813770017636,-10.553624092195571,14.125378548042052
BDSB93,104.297,-8.202,0.77,-2.41,1.021,32,220.88827869576892,-2.4618216380607376,15.848924964027185
BDSB96,106.332,-12.327,0.844,-3.843,1.071,65,225.47675006290896,-2.5610958265426036,7.9432840915212966
BH_111,167.32,-63.834,0.339,-8.176,2.941,27,291.95534240204756,-3.160985580454608,194.9844428490234
BH_118,170.765,-58.549,0.065,-4.406,1.45,61,291.60406104103294,2.3654834937409346,1905.4595463785963
BH_121,174.661,-63.387,0.387,-6.0,0.63,174,294.8863088504742,-1.658066106823492,2.6302684539632835
BH_132,186.72,-64.058,0.362,-6.22,-0.177,52,300.2495926763571,-1.3142280549934529,158.48924964027185
BH_144,198.808,-65.92,0.045,-5.111,-0.375,73,305.35904941820195,-3.160446241458529,1479.1086480080835
BH_150,204.506,-63.346,0.178,-6.395,-1.534,43,308.1284960396192,-0.945257286891097,21.877623926123007
BH_151,205.051,-61.731,0.176,-5.853,-1.878,29,308.67240780322726,0.596019925291714,15.848924964027185
BH_164,222.311,-66.465,2.364,-7.368,-10.714,204,314.3229214079759,-6.2345029032894965,32.359382746997106
BH_19,121.768,-32.355,0.19,-2.897,3.547,45,249.88162251661072,-0.02256247675296905,309.0293803866819
BH_200,252.484,-44.182,0.406,-0.025,-1.132,94,341.15295484163363,0.28307988585609223,162.1810239813303
BH_202,253.779,-40.947,0.551,-1.869,-3.802,95,344.2589831762235,1.5982682540980486,380.18932953144076
BH_205,254.053,-40.636,0.569,-0.15,-1.083,55,344.6314622213202,1.6316073950926189,6.165949477018448
BH_211,255.535,-41.113,0.524,-0.671,-1.943,71,344.9504154223072,0.4562087805043082,426.5796312095559
BH_217,259.071,-40.815,0.31,-0.661,-1.826,99,346.78134452772986,-1.509915516664234,34.67368199963294
BH_221,259.641,-32.334,0.884,2.0,-1.568,133,353.9720532454231,3.0139474632391954,10.715198228903988
BH_222,259.694,-38.289,0.114,-2.091,-3.192,104,349.1213836327791,-0.44349731508115264,
BH_23,123.449,-36.329,2.257,-7.101,7.35,86,253.9685438824478,-1.0306171525075762,28.840317564502843
BH_245,266.561,-29.7,0.336,-0.497,-2.194,31,359.4185647134536,-0.5136854449909294,
BH_37,128.946,-43.61,0.243,-3.484,3.953,101,262.34439512671696,-1.7852590809549527,173.77999128939916
BH_54,132.413,-44.353,0.42,-4.759,5.244,42,264.4679163953648,-0.2796459022856953,8.70963704709875
BH_55,134.042,-39.518,0.185,-3.971,3.118,60,261.52644676940685,3.745515968363925,2290.865841769215
BH_56,134.355,-43.181,1.078,-5.57,5.439,109,264.4697221683362,1.5479361118061956,17.78279410038923
BH_66,141.314,-54.719,0.097,-4.157,3.599,27,275.99975215308325,-3.0123695263335386,724.4353873869618
BH_67,141.687,-51.273,0.098,-3.64,2.811,43,273.7631217905558,-0.380259282094018,616.5949477018448
BH_72,142.838,-53.04,0.11,-4.621,3.299,55,275.49111966899386,-1.1773285993307256,223.87231049868672
BH_73,142.981,-50.225,0.105,-3.574,2.306,54,273.6380879226567,0.9437088869305214,741.3100459583173
BH_78,145.952,-56.574,0.15,-3.69,2.71,46,279.18575815411464,-2.6152705181237317,338.8439477987164
BH_84,150.331,-58.218,0.2,-4.848,3.289,57,282.0565863866292,-2.417105300816314,134.89632380568446
BH_85,150.469,-49.564,0.106,-5.689,4.676,74,276.9140102814929,4.546649871725927,2290.865841769215
BH_87,151.148,-55.386,0.416,-6.335,2.626,177,280.7241409949351,0.12171031568436952,117.48967293472916
BH_90,153.064,-58.069,0.369,-5.385,2.295,126,283.1385539265688,-1.451024697017786,125.8926517592568
BH_92,154.779,-56.425,0.388,-5.896,3.446,41,282.98805538825405,0.43059002015344927,213.7961713919407
BH_99,159.553,-59.168,2.225,-14.494,0.919,371,286.5851535309885,-0.5916114991865906,95.49926279631119
Barkhatova_1,313.398,46.037,0.476,-2.44,-4.478,47,86.20788765111021,0.8184626899700311,263.0268453963284
Basel_1,282.036,-5.876,0.525,-0.079,-4.509,79,27.325840411907794,-1.9460275307208141,229.0865841769215
