source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,l,b,pf,type_best_classification
4689157302786078080,11.05125859620042,-72.14570272481456,-0.0811328745127936,0.049164493,0.6354953145279326,-1.2304576423705134,16.91476,303.7154597026916,-44.971541811029525,,DCEP
4053319894625428736,264.2341605443875,-35.00936134265741,0.15553366180174236,0.12557489,-2.0570091087640106,-4.910960085493466,17.151297,353.8716889673323,-1.6498433279173301,5.996715234313806,T2CEP
5587628692622346624,116.43209377664061,-35.409945491999785,0.06265742306257634,0.015709935,-0.8589110851261407,1.911659392554129,14.383887,250.20214094554422,-5.392649429678907,,DCEP
3327281790934522752,97.72072294206163,9.67309863986356,0.22235690733921723,0.017701285,0.33764010547284073,0.7765634709904291,12.339735,201.99063783216792,-0.11251517515994557,4.802556811158777,DCEP
2022045524696684800,295.6756409370246,26.905507195648955,-0.022626369274939474,0.035399247,-1.9858999297523399,-3.7677622808704303,15.959122,62.480621061042626,1.7358472131266878,,DCEP
4096627497365471232,277.2532237410688,-17.764651360813428,0.053146825113578204,0.1614026,-1.1934980642045006,-8.974298753288034,18.12849,14.603503812255815,-3.2289270567201047,,DCEP
4687627504150666880,19.057287187228344,-71.68617707443988,0.015328484787019854,0.033021115,0.9658810608263286,-1.1601061649141513,15.961805,300.16712346480375,-45.30875164911038,3.787096261266043,DCEP
5878331144574194304,217.91680670827682,-61.686484884936334,0.1861126112234377,0.10160453,-5.171129549351541,-2.682930375937072,17.53486,314.52224595700505,-1.0911219434019834,6.998893085952348,T2CEP
2952714394517032320,103.00459769566284,-12.762067687858256,0.1984351757105753,0.013844429,-0.4848102343702282,0.7486337360088182,12.676683,224.39252450453708,-5.65450821650284,4.636198261949187,DCEP
4062422407794135680,270.73339113589344,-28.67762351814326,0.1010777579008382,0.05258072,-6.237809213012967,-4.9689978514281465,15.883835,2.141891163619722,-3.1411903434309805,1.5051977186285117,T2CEP
4651347503109127168,79.95133494134706,-72.02975429631466,-0.053399280489903084,0.025598746,2.1677677468375665,0.6180832030944722,15.417184,283.18828028976884,-32.725976624207526,5.000105733255291,DCEP
4305766600430094464,286.53794373525744,5.956255065006536,-0.1913661351135035,0.1300175,-2.4451740247056137,-4.821758062762146,16.610388,39.90802792753305,-0.5428203292212206,7.868671989395634,DCEP
4756933364193505920,84.21902177377798,-64.71359265379265,-0.05699149408467294,0.041676827,1.5574396893549078,0.4133781001162279,16.40739,274.3357839017314,-32.262618493899815,,DCEP
