source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,l,b,distance_kpc,r_galactocentric_kpc
5706526267974086656,126.88547676425152,-20.16756964074101,0.6775665447627033,0.03661571,-3.348686068685611,4.452015341490712,15.082457,-0.3774252,242.2309729295488,10.540740071855469,1.47586979866342,8.89119765078472
5720212580697892480,124.7742111883856,-17.675990072345392,0.7671017387698739,0.046898015,-1.89896778624312,0.7693296361326436,15.863236,-0.3146906,238.99756421074596,10.25520190739315,1.3036080476151735,8.851287351734653
5724643165884432896,122.31916168183908,-15.570146992269317,2.666811016861749,0.037144165,-9.154295891063736,2.7796590067370293,7.290824,-0.13027573,235.91493535205865,9.393783127162502,0.3749797018525821,8.334962706454595
4057293568343248768,267.1488711197486,-29.08745336458514,1.0075349047139612,0.029781047,-1.2042471227267817,-4.841201060443816,14.883553,-0.000113487244,0.2078375785594096,-0.6347314791979822,0.992521445481732,7.129546896267698
6725271929101749376,271.9064436848779,-41.30749036850752,1.228583989183228,0.028283684,-0.005213698433163,-4.252015309314858,10.254099,-0.023428917,351.4283111349519,-10.018693382663528,0.8139451667971089,7.330393207234467
1822037006590818816,300.6301393813002,18.17740719857099,1.2440991615099908,0.027958833,-5.8039779467958645,-11.269601752622863,14.268188,-0.11437607,57.30287829363161,-6.651307367098214,0.8037944489780684,7.720006243020871
1843201918212416768,310.424214622712,24.182461888140683,1.924222851683326,0.052841753,2.534533491462757,-4.522177128573209,6.895581,-0.0341506,67.4928533622567,-10.889208195889829,0.5196903254345991,7.940653677164138
1855585271002522624,308.9747366692808,25.478725362631657,3.140335693328686,0.03285937,7.723981159821133,0.9886929082178182,7.6452627,-0.03661394,67.76405407914487,-9.061830478041056,0.3184372938614159,8.008292107234462
2059274610423488000,299.5569754212912,34.422755413250606,2.7023965812035664,0.030092105,4.099091806652854,-0.2217996832499334,7.6974645,-0.11781311,70.65514812464234,2.684296084622291,0.37004191278048093,8.007156174515671
2061184015433242368,305.7698869062962,38.75436705116608,2.7163561604123023,0.019848788,5.277440262891675,1.5884973697262377,9.053819,-0.004945755,77.0091593863945,0.8739221230445985,0.368140236753127,8.04725074308168
5999701422794875264,232.1877251216668,-44.89281100172559,1.7229920257445002,0.03312112,-3.3015101939106257,-2.361861736782151,7.7241826,-0.00872612,330.0150371574689,9.5482622268493,0.5803857389113004,7.631621918554081
6068620082932620672,202.43378178646117,-54.00293929000898,0.9014488097059624,0.0450105,-5.584152764879044,-1.48606342521251,7.609199,-0.010365963,308.60368157770785,8.446530226616618,1.1093253318801135,7.4866377685451875
5989870075180588160,243.81359658185508,-47.37222336439839,8.904933793013871,0.10718357,-34.65385989703168,-45.78437881967864,5.102956,-0.139956,334.6999455380086,2.5324972389396154,0.11229729757053594,8.020716473384566
5922893015129100928,260.4828415743845,-54.96701968699914,0.7015435078290969,0.05131319,-0.9233297298206612,-5.164108573170425,15.4250145,-0.1255827,335.5831853182032,-10.304227232385289,1.4254283431322268,6.869497808859755
5925530571737065600,260.8719762410887,-50.38117283105144,0.5970784930688862,0.030667763,-3.2138160894271675,-9.30529561007686,14.749068,-0.103876114,339.5924210056136,-7.976223586362049,1.6748216718712525,6.592899444759385
5352558466749796736,163.2397731240567,-56.801028546649285,0.7087563290339572,0.020490378,-9.0863286620295,3.903236432742591,10.716704,-0.01909256,287.2164364508825,2.4115191230193718,1.4109221449394478,7.821537543639169
5798965994404762880,228.03346927989568,-70.61842481373324,0.5753818437841178,0.027640238,0.4658405946726563,-2.4160939605541887,9.260615,-0.08077717,314.157280784505,-10.878229750468844,1.7379762861881303,7.0403282064355714
5820735293849166592,235.37170975249563,-67.58954528090602,1.574875496010817,0.024742048,-3.9190345876033774,-8.007182319527278,9.043347,-0.0112428665,318.0905787977325,-9.871456296331347,0.6349708294611318,7.66784345545204
5246528093699757824,149.71388482852322,-64.64721447390292,1.5603834851463991,0.01987806,-8.171679972137813,4.540959207415621,9.302214,-0.011411667,285.74524713643416,-7.702014188011983,0.6408681003863467,7.973127940362027
5339671331491767936,169.97878518183558,-58.15469335143766,1.0792895904782145,0.038016263,-12.439321182521248,0.6751918968645945,7.556424,-0.09871626,291.0813763362686,2.5956301826820654,0.9265353884835648,7.836805929213041
