source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,l,b
5616936857959729024,110.0112366650198,-24.415956606854454,2.4119977290489967,0.036312707,-7.928440529540865,4.130105108232509,8.288752,-0.14361572,237.8419554594303,-5.0250985961853285
5643316104714555392,125.68200812424074,-31.700642911191114,0.746811982439518,0.028644761,-4.903268922838802,4.444634540346828,8.782672,-0.18809414,251.1792206103954,3.10080610709239
5699681606236739584,122.54170296498818,-23.276525610002135,0.3767229646083909,0.026274664,-1.5682809375342086,1.8734859781612212,11.607992,-0.07637787,242.60294280969063,5.460692135744752
3046236414036063232,106.8758947441357,-11.146881249215088,1.374394881754539,0.029561434,-3.2735880505836876,2.787889097996896,9.492777,-0.10956669,224.6716667358903,-1.5467269520645874
3081459131589789696,119.8231762375602,-2.0979007243997247,0.4692511533511795,0.037005235,-3.04713748247444,4.3887876073020875,12.395563,-0.03311062,222.7567949464738,14.051959400744602
3339431561921073664,84.56524894382181,9.898620840735314,2.382865613138453,0.02935604,0.9990951350072549,-2.2497773535597934,8.990129,-0.012010574,195.48271118672952,-11.35104088015169
3366682515235611264,107.33150428383446,20.959724803122615,0.31046150674004763,0.03192378,1.2901517956682547,-1.9470219458961129,12.346372,-0.001367569,195.9023440109549,13.174258756410653
3368880061025012224,96.98052812684635,15.694602014316414,2.7613534490468323,0.039464314,-0.0036965542815541493,-0.09483337436427819,8.433522,-0.020918846,196.31954402187404,2.0394613042210454
3424202297812639360,87.96384410535329,22.07692488566088,1.9008842964144976,0.03059289,-1.1225659597609996,-23.4691539918747,13.146261,-0.25162697,186.6051684018791,-2.3281964185961064
3441298191795447936,84.28692248833462,26.9243731099771,5.58797935232006,0.088670574,12.773636916499113,-22.725448808152088,6.5446186,-0.15536928,180.71944092490028,-2.6516670181874398
5437498591823696256,142.0606800705786,-34.90414300149602,5.6719757182711135,0.027796026,-17.934602434671817,-3.2453130779654806,7.3705835,-0.021405697,262.4890641915321,11.560733306168682
5958338108955287808,263.06395502832015,-44.37759679188802,1.0757329118465322,0.027929818,2.2476252346424865,-4.300633817365378,9.059013,-0.0035324097,345.4746256591942,-5.939484210033856
5970906347133209216,252.6895932312878,-38.256519632938435,5.871897567703006,0.040531173,-11.941610850528969,-22.632241647054727,7.2240453,-0.030108452,345.8140772727091,3.949975667635434
6011919681344866560,240.07513764957096,-34.50892132549716,9.846843149976895,0.057442147,-90.24981332490876,-96.19039110320058,15.972238,-0.23277855,341.46399798702356,13.875547416037156
4036578082144969728,269.1254033919418,-38.61532877347993,1.3111366574121797,0.029378826,2.0891351395693025,-7.4664772975450635,8.889747,-0.01605606,352.79348542572427,-6.861883498436799
5956551608691878912,267.6763625432582,-42.26580780512372,0.28889327792138053,0.045491714,-1.117683721157755,-4.155119863496046,15.931489,-0.03809166,349.045780431466,-7.711533464443183
6733324447352005376,278.4020049459756,-36.766075168524644,2.196213764558845,0.038180497,-1.144635809934457,-6.983172038876007,8.694776,-0.002746582,357.842409786208,-12.563317935830947
2036661504527318016,288.74523113693164,27.961116770780865,1.9846841080161999,0.036247868,5.756782803712734,4.694966513594545,6.8966446,-0.08314419,60.49427602138339,7.6538408268174605
2047894802517982592,296.41525303646523,36.091070681784196,2.7041981895009224,0.044582546,4.280416609684852,9.313840606846034,6.39971,-0.0279665,70.79023803142618,5.741240901948449
2049899006045147136,291.87630492681495,35.637110520967404,0.3286966632047088,0.024613952,-4.10969739985084,-5.920538994065145,11.421801,-0.1536007,68.62472664607509,8.761261900948606
2051485704404029952,291.92142151204933,36.52989904263861,2.1481327937974117,0.02610315,7.147145670661255,6.314112988368378,8.415444,-0.09235287,69.44573726693736,9.136301578129785
2098817824548797824,286.8782027173803,37.120776809646145,2.6589373781748167,0.02226579,1.8350179138995948,-2.935779822513255,9.090587,-0.014580727,68.20352618890838,13.029413372000796
5871744421427347584,207.93903533920053,-57.710999379285745,1.0671824749887604,0.024605995,-3.1141463160806144,-3.9549493148495363,9.35163,-0.04645729,310.94230664425453,4.219603098075958
5899444898865671296,217.63942376414684,-50.12251429753034,0.7267534848749175,0.05057547,-13.724543630308355,-9.941835586179835,15.6514435,-0.11915398,318.7514655301738,9.679965196971112
6073279508288863744,190.70707121410905,-55.94704284391249,9.271851945383155,0.1095514,-34.91764475331533,-3.4423041554208362,6.0463467,-0.0055270195,301.7180499284979,6.904413680291202
6078053931363429248,189.0575311327925,-52.3476644210619,0.5222934502405497,0.032126535,-7.125772897183476,1.2107454525481285,14.898367,-0.21957493,300.57128898874424,10.454366549751306
6093370471935953152,207.76350480000227,-51.205811039983566,0.2880507244740304,0.05586075,-9.947556711117924,-5.249929849555176,14.648917,-0.0368433,312.366678574162,10.570566246253577
5889627011641855232,231.01038017964171,-52.148911109128186,1.8678506580934378,0.036653284,-5.9119843388194795,-7.836219684223233,8.242785,-0.0021867752,325.26344988417435,3.9796709951061535
5874471485134725632,224.18319838968617,-62.78105673022948,4.197292414034706,0.7739401,-7.477884834214637,-8.053960638937228,5.35798,-0.018317223,316.7112532178901,-3.31070875282635
5949976146867327232,263.1624797375044,-48.38651191765034,1.0474503607256482,0.037351597,-0.045797363824246345,-2.538399961048957,9.341235,-0.052360535,342.1015173123429,-8.146451770613906
5346659311979165184,170.2514139929002,-54.49106621877023,13.95977291202661,0.9932195,-42.32235446071995,7.8514877048669565,3.873441,-0.18834853,289.9554183256386,6.08630868034484
5369614537772816128,175.9198866462027,-51.17820262627617,0.9141524401062949,0.025858656,-18.573779476149337,3.979971094057559,14.379266,-0.27246094,292.23370251114744,10.280633747143689
5414668641624989824,151.84867204688732,-45.21391175401199,1.8647731872655153,0.027534653,-17.473071664360273,8.718548342558734,9.531567,-0.008084297,275.05844515776045,8.596005487646126
5415649131116838016,155.45000836641825,-44.55608962163182,0.12540440951549175,0.020954464,-1.5932403498669303,2.034224998390754,12.807164,-0.1215868,276.80306958838526,10.591846931602431
5243447296466113408,144.39220678079317,-69.67701656880682,0.8919365445923101,0.02907357,-10.64747038220096,12.58608808371463,15.579939,-0.31838703,287.4648929442115,-12.864630067078616
