cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr,distance_kpc,r_galactocentric_kpc
NGC_6561,272.659,-16.74,0.655,-0.002,-0.754,54,13.436231111437085,1.1227717898720018,18.620870548831206,1.5267175572519083,6.646825116674888
NGC_6613,274.989,-17.089,0.64,-0.508,-0.917,25,14.192712658262634,-1.003016708543481,18.197018176288072,1.5625,6.618518413378725
NGC_6649,278.359,-10.399,0.467,-0.007,-0.055,483,21.63725652308655,-0.7802814077727872,70.79456289251887,2.141327623126338,6.1823586539276425
NGC_6716,283.616,-19.888,1.405,-1.476,-6.013,76,15.397082020207318,-9.565067371853296,97.72367059324804,0.7117437722419929,7.447672942129949
NGC_6756,287.181,4.711,0.281,-1.584,-3.631,227,39.09649967244885,-1.6839864813412777,47.862990313698695,3.558718861209964,5.811713842697962
NGC_6823,295.794,23.321,0.446,-1.697,-5.304,140,59.42304776932152,-0.1387281398666601,2.3988335511359207,2.242152466367713,7.243390379357839
NGC_6834,298.052,29.399,0.272,-2.487,-5.094,211,65.69104181735715,1.1826298376320157,19.054616384945497,3.676470588235294,7.409346106798898
NGC_6871,301.548,35.765,0.514,-3.129,-6.437,430,72.65765063548203,2.0120763266519543,5.495405842387226,1.9455252918287937,7.767420641268503
NGC_6910,305.797,40.771,0.545,-3.415,-5.359,127,78.67523215353464,2.01116408441763,13.489632380568445,1.8348623853211008,7.96744344971621
NGC_6913,305.943,38.487,0.553,-3.409,-5.771,71,76.86763479554176,0.6098193450191615,21.877623926123007,1.8083182640144664,7.909678754958018
NGC_7039,317.663,45.597,1.293,-0.32,-2.542,109,87.84720807433628,-1.6995242493097569,21.877623926123007,0.7733952049497294,8.129746738197355
NGC_7058,320.448,50.822,2.73,7.432,2.889,26,92.89093729746396,0.6026416871957494,40.73804030443489,0.3663003663003663,8.148688594621111
NGC_7063,321.122,36.507,1.477,1.524,-2.482,64,83.09289328481721,-9.88798087442642,97.72367059324804,0.6770480704129993,8.069001932801516
NGC_7082,322.186,47.103,0.729,-0.293,-1.106,282,91.1157347323396,-2.8587994634558163,61.65949477018448,1.3717421124828533,8.263003477791349
NGC_7129,325.74,66.114,1.086,-1.759,-3.267,36,105.40302296392709,9.887075722440237,21.37961713919407,0.9208103130755064,8.408544873533495
NGC_7160,328.448,62.589,1.05,-3.472,-1.378,45,104.0139664573891,6.4369579026422015,14.454392628956644,0.9523809523809523,8.401499974712161
NGC_7281,336.259,57.869,0.432,-2.123,-1.238,40,104.44333747187002,0.351474096843192,35.48135450617081,2.314814814814815,8.983519296718962
Pismis_11,138.974,-50.006,0.335,-5.397,3.926,46,271.65039048277623,-0.6987984159275439,3.311311069398671,2.9850746268656714,8.572035744565904
Pismis_5,129.407,-39.603,1.026,-5.494,4.275,80,259.3548581798467,0.9053785946947276,10.0,0.9746588693957114,8.357085944559932
Pismis_8,130.407,-46.272,0.517,-5.757,4.945,44,265.08965591541084,-2.578665067489285,32.359382746997106,1.9342359767891681,8.508071739384054
Pismis_Moreno_1,334.695,63.251,1.051,-2.301,-2.251,62,106.71310722940486,5.292749402985336,8.912505467113453,0.9514747859181732,8.443358033723408
Platais_8,136.718,-58.685,7.415,-15.596,14.474,211,277.1209584461955,-7.576051744196276,30.19951853033241,0.13486176668914363,8.10651330002015
Platais_9,139.241,-43.862,5.463,-24.705,13.333,125,267.36225380158163,3.7075026316544655,50.1187013514281,0.18304960644334614,8.132453901041417
Pozzo_1,122.374,-47.335,2.853,-6.516,9.53,341,262.7978751258004,-7.69020742551165,9.54992627963112,0.35050823694356814,8.172816763545441
RSG_5,303.482,45.574,2.945,3.573,1.605,162,81.71887978305422,6.097661884285992,34.67368199963294,0.33955857385398985,8.0802808050092
RSG_7,344.19,59.363,2.337,4.927,-1.865,124,108.78045546104494,-0.3207661693925871,38.904528168399445,0.42789901583226353,8.269685470944085
RSG_8,344.983,59.371,2.21,5.343,-1.654,170,109.15022939400905,-0.4838513681371724,26.915337400578164,0.45248868778280543,8.281469862013957
Roslund_2,296.261,23.977,0.463,-1.741,-5.115,97,60.20499979065623,-0.1820728672111216,11.4815347022194,2.159827213822894,7.293729149666836
Roslund_3,299.695,20.509,0.585,-0.386,-5.108,104,58.84231733780868,-4.684533151247386,53.70318199557904,1.7094017094017095,7.385841937079892
Roslund_4,301.199,29.196,0.423,-2.166,-5.057,31,66.95434812904469,-1.262187633238633,16.98243727045763,2.3640661938534278,7.518221457850336
Roslund_5,302.641,33.751,1.831,1.981,-1.164,151,71.45119000898197,0.1661547853379363,97.72367059324804,0.5461496450027308,7.9651107502191065
Roslund_6,307.185,39.798,2.809,5.875,2.155,247,78.49432676355592,0.5846175345328531,89.12505467113454,0.35599857600569595,8.05854774140658
Ruprecht_108,203.002,-58.509,0.977,-9.025,-2.323,32,308.22242398809124,3.945393908623232,83.17639172213713,1.0235414534288638,7.533055025041097
Ruprecht_119,247.039,-51.5,0.433,-1.3,-3.413,82,333.26577482029336,-1.8688423109866124,47.862990313698695,2.3094688221709005,6.148814194239023
Ruprecht_127,264.462,-36.309,0.385,-0.297,-2.266,55,352.8726228005961,-2.502199468432776,13.489632380568445,2.5974025974025974,5.556461482368258
Ruprecht_138,269.984,-24.665,0.369,0.248,-1.147,83,5.301672654815267,-0.5765831028066181,9.54992627963112,2.710027100271003,5.429479819773075
Ruprecht_144,278.437,-11.425,0.555,0.142,-0.876,32,20.76188981907293,-1.3211501497886469,30.19951853033241,1.8018018018018016,6.469242632772641
Ruprecht_170,276.335,-9.995,0.463,0.452,-0.132,65,21.070970381241025,1.1718302599420118,58.88436294945623,2.159827213822894,6.1561578125919665
Ruprecht_26,114.271,-15.587,0.923,-3.2,0.071,73,231.9825570572636,2.6989904245077923,31.622776601683796,1.0834236186348862,8.829801460835446
Ruprecht_65,129.838,-44.041,0.412,-4.746,4.245,33,263.07706285752147,-1.5331750937544937,22.908683570453768,2.4271844660194177,8.752400595712173
Ruprecht_71,132.316,-46.875,0.486,-5.22,4.642,39,266.3793279241205,-1.9268237372832224,21.37961713919407,2.05761316872428,8.503258992552604
Ruprecht_77,141.821,-55.119,0.242,-6.286,4.84,17,276.48801214950606,-3.097124219083192,12.3026920306321,4.132231404958678,8.684397468472495
Ruprecht_79,145.259,-53.846,0.221,-4.631,2.995,147,277.1018147477445,-0.809856676470218,61.65949477018448,4.524886877828054,8.79494197267562
Ruprecht_94,172.772,-63.426,0.369,-6.378,0.769,47,294.08855563921816,-1.9422635264153911,24.547081610382136,2.710027100271003,7.439465773320463
Ruprecht_96,177.67,-62.14,0.27,-5.491,0.806,73,295.8988806097768,-0.1007600169076873,46.77352234557817,3.7037037037037033,7.307945735412442
SAI_113,155.685,-59.51,0.179,-5.76,2.975,63,285.06816915359366,-1.8979444851231668,8.912505467113453,5.58659217877095,8.576937846243787
SAI_118,205.811,-63.146,0.514,-4.401,-2.335,108,308.7432862489786,-0.8602755969496848,31.622776601683796,1.9455252918287937,7.069305965188225
Stephenson_1,283.568,36.899,2.779,1.11,-3.01,83,66.90746382316338,15.36545795653329,28.18381693478142,0.35984166966534725,7.99228454053975
Stock_10,84.808,37.85,2.759,-3.114,-0.464,142,171.7134071388001,3.556180019721307,81.28302305789093,0.3624501631025734,8.480135667607277
Stock_14,175.925,-62.537,0.385,-6.388,0.714,19,295.2114765105712,-0.684982841335989,36.30780069327641,2.5974025974025974,7.3987491853145215
Stock_7,37.431,60.627,1.441,-3.496,0.484,129,134.70062135018296,0.0207951696239393,72.44361827871234,0.6939625260235947,8.624252486172391
Teutsch_125,333.316,58.939,0.469,-3.867,-2.78,22,103.74168646944008,2.091976937926089,8.70963704709875,2.1321961620469083,8.872940099844687
Teutsch_126,333.455,55.712,0.437,-1.82,-2.23,57,101.9770908447658,-0.6110641825020788,48.97788838992469,2.288329519450801,8.883477838198969
Teutsch_27,294.343,18.7,0.245,-2.924,-6.308,13,54.73492098372048,-1.239760187184645,32.359382746997106,4.081632653061225,6.659400788228502
Teutsch_30,306.929,36.074,0.539,-3.18,-5.692,29,75.35286249491712,-1.4257633708822404,28.840317564502843,1.8552875695732838,7.860567775012023
Teutsch_38,131.523,-38.025,1.502,-8.636,3.669,100,259.1219672351045,3.17555510674533,37.153537595204696,0.6657789613848203,8.27324788227335
Teutsch_8,300.598,35.31,0.492,-3.496,-6.704,28,71.85997698490866,2.423515571607177,3.9810708313250576,2.032520325203252,7.734373746401213
Toepler_1,300.318,33.615,0.252,-2.349,-5.081,20,70.29804493722885,1.7235805480673956,64.56541439665037,3.9682539682539684,7.744557548977389
Trumpler_10,131.943,-42.566,2.287,-12.532,6.527,446,262.8660224550654,0.5827461548884668,32.359382746997106,0.4372540445999126,8.187801920597012
Trumpler_11,151.248,-61.619,0.248,-7.057,3.314,70,284.4623943292625,-4.869414993287035,27.542290662215265,4.032258064516129,8.11231224733647
Trumpler_14,160.986,-59.553,0.385,-6.54,2.076,267,287.4106584295503,-0.5793778090093856,63.09576215861531,2.5974025974025974,7.7516875076064595
Trumpler_15,161.177,-59.369,0.398,-6.209,2.016,138,287.4101533032306,-0.3713503072142615,8.912505467113453,2.5125628140703515,7.750346690281443
Trumpler_16,161.253,-59.7,0.389,-6.864,2.509,110,287.59879710488144,-0.6460519053739875,13.489632380568445,2.570694087403599,7.742717935142701
Trumpler_17,164.108,-59.23,0.375,-4.631,2.216,168,288.6857381034419,0.423092445418502,19.952631912548657,2.6666666666666665,7.694160096859863
Trumpler_18,167.826,-60.656,0.624,-7.172,0.569,29,290.9639484435688,-0.13225519689444,47.862990313698695,1.6025641025641026,7.695540769779788
Trumpler_21,203.068,-62.787,0.722,-4.682,-2.312,95,307.5807688560853,-0.2844066948013828,48.97788838992469,1.3850415512465375,7.359613344709328
Trumpler_22,217.783,-61.169,0.386,-5.12,-2.683,140,314.657561178308,-0.5875514364205281,32.359382746997106,2.5906735751295336,6.565104510032629
Trumpler_28,264.231,-32.469,0.678,-0.851,-2.824,103,356.01344591441494,-0.2831488897785086,77.62468779884148,1.4749262536873156,6.651450876283195
Trumpler_29,265.347,-40.158,0.673,0.489,-2.308,142,349.96734939988966,-5.128180658939716,51.2861429039393,1.4858841010401187,6.669678706392211
Trumpler_3,48.004,63.218,1.461,-3.354,-0.112,211,138.01376089021662,4.539660779557955,46.77352234557817,0.6844626967830253,8.64123186294437
Trumpler_33,276.159,-19.711,0.677,0.435,0.449,29,12.395113791333523,-3.2121981356527813,57.54402406055371,1.4771048744460855,6.689087251176849
Trumpler_35,280.741,-4.215,0.319,-1.032,-2.219,39,28.21551931657218,-0.0403398002363905,38.904528168399445,3.134796238244514,5.560840652309768
Turner_3,274.393,-18.875,0.584,0.474,-2.504,16,12.350560606882016,-1.3480411621143993,97.72367059324804,1.7123287671232879,6.46014713750581
UBC_1,287.87,56.801,3.049,-2.579,3.649,47,87.49640740865239,19.815610469670187,69.18312139914401,0.3279763857002296,8.11437911431567
UBC_101,279.496,-7.135,0.413,-0.319,-3.037,54,25.05241959399565,-0.2764855563016355,28.18381693478142,2.4213075060532687,6.016516569061902
UBC_103,280.633,-6.592,0.285,-0.396,-2.266,97,26.052151384057616,-1.031325008847239,22.38720646963977,3.5087719298245617,5.203587944985042
UBC_104,280.692,-6.257,0.295,0.486,-0.809,61,26.37695676162434,-0.9303644492332483,64.56541439665037,3.3898305084745766,5.303737293448452
UBC_105,280.319,-5.427,0.467,0.459,-0.997,75,26.94539991528814,-0.2207996732364625,83.17639172213713,2.141327623126338,6.2884631652134475
UBC_10a,324.652,62.206,1.075,-2.131,-3.031,43,102.41519541927325,7.285228460614462,14.125378548042052,0.9302325581395349,8.369037568955418
